"Foreign direct investment, net outflows (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182249301,0.048487218,0.116287189,0.13932918,0.649480881,0.325656199,0.001585639,
Algeria,,,,,,,,,,,,,,,,,,0.026447298,0.000956398,0.046839955,0.079385651,0.032915298,0.025048215,0.02995293,0.027279657,0.004119464,-0.008346683,0.022552946,0.008297615,0.014647673,0.00755709,0.110006666,,,,,,,,,,,,,,-0.019542873,0.029017835,0.217225534,0.185976582,0.1556618,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008771765,,,,,,,,,,,,0.251055429,0.169314601,0.178202831,0.716112052,0.421991617,1.508283552,3.052612713,0.008945401,1.578145206,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,-0.001761152,-0.039598594,-0.085195691,-0.14292782,-0.135999357,-0.035584028,0.001923463,,,,,,,,,0.509623851,0.297807556,0.393429214,0.580218619,0.588186817,1.247296274,0.777885847,0.61027954,0.317036005,0.059872964,-0.614600104,0.597065815,0.441449936,0.715669853,1.13923153,0.57684453,0.425778794,0.231713523,0.261639904,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012824801,0.06290864,0.137190671,0.048235439,-0.023245009,0.087547123,0.609609936,0.088035804,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024291496,-0.109409183,0.083864475,-0.246433198,-0.018034264,-0.270667833,-0.321543408,,,,,,,,,
Australia,0.095378938,0.118362235,0.083597428,0.082456947,0.093305482,0.175192166,0.121957093,0.175114226,0.179846468,0.290544513,0.268591884,0.22847816,0.245183185,0.401760077,0.27246938,0.162842187,0.250685086,0.239479213,0.19752309,0.252171601,0.304719416,0.410577944,0.356058888,0.291689228,0.720979202,1.031867303,1.813436867,2.686309491,2.441578249,0.956682262,0.322476577,0.367559224,1.565902184,0.616542954,0.864406462,0.880825046,1.747167554,1.455057918,0.833937219,-0.108150755,0.785633624,3.145434426,1.962279773,3.675468081,1.796177223,-4.873190975,3.191907215,2.32960294,3.589952302,1.70102012,2.167370691,
Austria,,,,,,,,0.017272005,0.134484954,0.091461836,0.056704664,0.203749807,0.175196721,0.132284635,0.056466484,0.064960464,0.131793938,0.168347895,0.145906695,0.115603992,0.123627918,0.299210862,0.197073076,0.263824986,0.104319064,0.106756246,0.322375228,0.254676789,0.234559175,0.657522303,1.031693296,0.751255004,0.876572406,0.631543731,0.624416666,0.47577928,0.818378531,0.954997279,1.304397987,1.558146049,2.914683251,1.634005036,2.767665868,2.812976091,2.890772354,26.83487369,2.632863965,19.0864408,7.131380195,3.119057617,-5.375686804,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000100941,0.000449802,,0.014414094,,5.221499313,12.82684168,13.87955009,9.216535426,3.362314827,0.864282453,1.137299409,0.736312996,0.448055021,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013063357,-0.00315856,-0.041785058,0.009649405,0.003234153,-0.003068426,0.002916302,-0.008312552,0.008062697,0.018679285,0.003322275,,,,,,,,,,,,
